LSCO 2511A, x = 24%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0 and 45
Fixed parameters:
T=0.19,T1multvalue=-0.132,T11multvalue=0.066
cost,Tzmultvalue,invtau_iso,strength,spread_xy,spread_z,n
4.171909748907389,0.060014531921979475,29.984696057435826,113.43387773538751,0.05078610264700098,0.13985898686616471,5.5732736647702446
4884150.948703045,0.06526738996239098,29.64027742252712,211.40873924742306,0.2010694723428853,0.36433514268082495,0.8294993740478658
11619028.614897221,0.07106385276597789,27.17777431726307,929.0447452935969,0.2269336036801562,0.17657714499646815,7.9530809251606005
78225.63632649698,0.08853787020699279,14.042879433867515,637.2485139798051,0.1327460862307262,0.216742461554387,2.0719436307455217
524.9198217153395,0.06085976084676667,2.778390174372035,978.7283384413463,0.05944820449982352,0.19102767660980924,11.275112276888148
83760.24796460803,0.07295969784514686,15.014558888731816,351.8373768024526,0.38303064436216355,0.09077427299109933,11.71306872618543
3174.1703010085275,0.08101124479724946,9.70203432624609,72.96284381507371,0.12551990865502782,0.18054907980611382,1.3799519896187018
11863087.342732772,0.08319232094108509,6.850167143817645,677.7435221533292,0.3614544920362138,0.32247700981970906,9.315659963646647
3043968.5587911434,0.06628292727233395,11.679701090976845,566.145728865918,0.33869334024046654,0.128886413412299,0.09822158185842422
31398.618105469373,0.067302098112955,8.978604011808379,893.3378675554802,0.15291445178021312,0.26418386228789864,10.441148084434484
2152.8007830698816,0.06874593899289794,21.26992974843883,453.9828763828607,0.11548069415631293,0.24842488592352324,6.272791604453605
28124861.297675405,0.07972795334687113,20.284771950783465,844.0067561167937,0.274225028730266,0.38375850863851824,5.574783743628618
306.13379606430374,0.06117575085793005,1.8707442631599118,237.31057628577327,0.0844666760593705,0.1362838077327473,4.108951064289393
83373.95170326816,0.06300773685813481,7.594639396444995,514.1728168346756,0.1561975420180295,0.07829795749988916,2.583038368531795
602.1629966746825,0.08917758054538341,4.597937676752958,317.80264841589377,0.08747425164227346,0.05889154928474866,9.86553897930427
684067.3834624265,0.0697714920609849,3.2085422321110606,115.77527642049495,0.24987892263146555,0.28687502950978916,8.85560021721992
17443.880631995227,0.07605533064723558,23.9517663011735,388.2429255842674,0.17099047946895518,0.06801236765036137,3.100090910836404
14150270.981257824,0.08505162962220421,5.242926382564315,746.2167773077908,0.3224133828501744,0.3377468411778187,4.826967045626384
16940211.55692578,0.07325806584912009,24.905869851487232,577.1853684629131,0.26914874884558926,0.3466600847926907,3.856334585283526
1388622.7943601515,0.08415828449543351,0.20142295333198135,266.69950306337216,0.24564394964246816,0.30507373142665306,1.9643645443364122
31854.29695633011,0.08011484267186827,16.311304695088648,40.861172629857776,0.21472209782154794,0.3086994444387624,4.668659540451649
2600677.8126091976,0.07711413991719082,18.593211291525748,605.5838313717732,0.31711456743809896,0.16515912511543546,8.35502108487883
18320245.13646629,0.08259504772788274,28.11318384953605,799.0866884688511,0.39504129633871454,0.3958067752233683,8.488521265470581
31847222.666613057,0.06490342304682518,19.53986441597092,818.2500667251668,0.30089603152143357,0.2287769956558077,10.933383662096002
34639.22905594531,0.07054000902134161,25.16420615930337,32.43707572714874,0.29119282084838666,0.23854924344237263,10.35469620468669
247862.6840134434,0.078500049736246,26.010616574752074,486.4630806622072,0.37509825531962787,0.10934890991022769,6.531274328988026
493272.4173515374,0.07493578372804652,13.195967051870525,424.3131816740145,0.06257775893407924,0.14405955382904334,0.6193841336389712
11328269.617517598,0.07538204598953417,10.532658429791024,709.6342397707364,0.20367135399633715,0.2776291699424097,7.070922463651053
15831.726659017466,0.08715339606380548,12.628475853611526,187.90418280957766,0.3463625832195439,0.10747257672586805,3.2476694820966556
1695.9473929235703,0.06231708655887271,22.461086352321278,958.6786693331424,0.10428952456513972,0.37237013872676983,7.467932940386845
434901.3113156316,0.07842324011714276,28.628959024893067,126.69912005813279,0.20925648454372495,0.3623195168333768,4.587800892681917
26037.373535445895,0.06526738996239098,29.64027742252712,211.40873924742306,0.23211756611115858,0.06483803136544197,8.989783203928098
226630.2416125227,0.07195345542450664,12.093359483943434,361.9510622984433,0.2598128412998295,0.10135396820377437,6.2543721307079165
343094.415190404,0.08853787020699279,23.497019166233564,580.049541123303,0.1795942241347208,0.216742461554387,11.998749637745547
592.9214336143667,0.08712205865390774,0.9127351148890366,273.3957538277905,0.08656587189434034,0.12356520323445874,4.185832942297937
336377.80103233026,0.06953234717412929,15.014558888731816,145.1272418786773,0.304114370941603,0.18348851098330374,5.8254945881044105
787.234743919387,0.07279035958611825,20.140090316892096,344.11581628851377,0.10391325265487307,0.17555963635285793,3.0086591104796754
428967.5743593818,0.06850884349370333,14.023824171564955,236.3130895038297,0.21557834483454794,0.14989540602553858,5.068746834719056
285102.58423570474,0.06515960351356712,11.679701090976845,720.6022483254068,0.17588463824008702,0.128886413412299,11.40950370352046
567.3698923996792,0.07274604486429949,3.2190581536791445,853.1823833400448,0.06522067791471944,0.12982256770679085,6.0778004948214335
384.97206139831314,0.06979716929995956,2.666196535916317,694.6679875567373,0.08651347182685437,0.18775461268588445,9.391376589937774
11745.067931082845,0.06949348600555735,20.838225008542114,844.0067561167937,0.12991299654368338,0.20629662240703012,5.34005337229515
7507009.598521223,0.06117575085793005,1.8088969612764565,520.5615233319922,0.056418736616057924,0.1362838077327473,0.5018679107124289
10.668671583308168,0.078430212274343,22.455079103864875,514.1728168346756,0.10399880439464655,0.07829795749988916,3.8843352601682044
1638781.2042190072,0.07942466929632326,4.597937676752958,317.80264841589377,0.1937651559942621,0.343659724551337,9.052443268545513
2404400.004753234,0.07250237891300473,3.2085422321110606,215.32301251158913,0.3518397723374108,0.3428710397273075,8.85560021721992
51.93161550085328,0.06779534062583102,23.9517663011735,228.07045438449552,0.06200817498386471,0.10196188006020614,10.974228052038702
3917.1918048676466,0.06899126023335268,29.20306331827331,746.2167773077908,0.11374340874411382,0.15480558797381108,4.826967045626384
6853.735565527074,0.08147551998078688,24.905869851487232,81.75777576368182,0.2171341816850793,0.11896390511202834,3.856334585283526
92953.20871487772,0.07757524717492206,18.464682766818814,217.54356304827917,0.1373211729350507,0.3312091591639883,1.9643645443364122
3518680.8741459297,0.0733633059048399,22.94316468664227,795.1824653785119,0.20215414750878463,0.1564491340988095,9.85244607202074
128.34223105154024,0.07711413991719082,18.593211291525748,102.73157161501229,0.07789967906526615,0.28499841720475844,8.35502108487883
505.1154771811902,0.08259504772788274,11.811176857490452,1.4032322007894322,0.1673922541867197,0.09476771035665188,11.809115136460122
0.48651101082711756,0.0754248305840634,18.948082062411878,425.14109651736123,0.09496121702456012,0.2938859258559957,10.933383662096002
4169.176777625565,0.06800935100370671,25.16420615930337,456.0498379093488,0.11669322940051623,0.3142748196308651,6.033897356347662
134.23288318037237,0.08097919866310724,26.010616574752074,128.2946171506083,0.10706443936554294,0.23719797872082532,6.531274328988026
3250821.5313307913,0.07493578372804652,15.212049619550324,424.3131816740145,0.2030856933967115,0.21900663901156775,1.1515566344065533
18767.01172315064,0.07538204598953417,10.532658429791024,709.6342397707364,0.16716297350271525,0.08141493065243968,8.441349052892209
101156.81744398954,0.0766568912103971,8.394802721203403,307.523338629208,0.3463625832195439,0.10747257672586805,4.037364622836858
2331399.104974959,0.06231708655887271,3.3924594742380627,936.2662072863156,0.17493570186943577,0.36890688135671845,7.516874122938148
9165.910075615817,0.0754248305840634,18.948082062411878,662.2120158667659,0.14800387004410626,0.12775551778359712,10.933383662096002
39994818.88748126,0.06468218953166696,21.808900012512296,978.8740009518677,0.23211756611115858,0.22005239022095455,9.40611844502616
